"created_at","item_id","model_id","shop_id","price","unit_sold","current_stock","allocated_stock","item_name","store_name","category","link"
"2022-04-07 10:01:27",7132988570,17374273859,13377506,39.50,35,265,300,"NESCAFE Gold Refill Pack (170g x 2 packs)","nestle.soldbyshopee","Groceries & Pets","https://shopee.com.my/NESCAFE-Gold-Refill-Pack-(170g-x-2-packs)-i.13377506.7132988570"
"2022-04-07 10:01:29",161291316,30442654766,13377506,19.90,6,344,350,"NESCAFE Gold Refill Pack (170g)","nestle.soldbyshopee","Groceries & Pets","https://shopee.com.my/NESCAFE-Gold-Refill-Pack-(170g)-i.13377506.161291316"
"2022-04-07 10:01:31",2941253372,81408876331,300862466,1888.00,2,28,30,"Flagship Series Tineco Floor One S3 Smart Wet Dry Hard Floor Mop Washer & Cordless Vacuum Cleaner Reddot Winner 2020","tineco.os","Home Appliances","https://shopee.com.my/Flagship-Series-Tineco-Floor-One-S3-Smart-Wet-Dry-Hard-Floor-Mop-Washer-Cordless-Vacuum-Cleaner-Reddot-Winner-2020-i.300862466.2941253372"
"2022-04-07 10:01:34",13031015011,67563085948,300862466,2699.00,0,30,30,"Flagship Series Tineco FLOOR ONE S5 Cordless Smart Wet Dry Vacuum Mop Cleaner Hard Floor Washer","tineco.os","Home Appliances","https://shopee.com.my/Flagship-Series-Tineco-FLOOR-ONE-S5-Cordless-Smart-Wet-Dry-Vacuum-Mop-Cleaner-Hard-Floor-Washer-i.300862466.13031015011"
"2022-04-07 10:01:36",11786112611,124076740253,300862466,1499.00,0,30,30,"[NEW LAUNCH] Flagship Series Tineco iFloor Breeze Cordless Wet/Dry Mop Vacuum Cleaner and Hard Floor Washer","tineco.os","Home Appliances","https://shopee.com.my/-NEW-LAUNCH-Flagship-Series-Tineco-iFloor-Breeze-Cordless-Wet-Dry-Mop-Vacuum-Cleaner-and-Hard-Floor-Washer-i.300862466.11786112611"
"2022-04-07 10:01:39",12062627922,38057158644,55788683,76.31,7,43,50,"L’Oréal Paris Glycolic Bright Instant Glowing Face Serum – 30ml Skincare Brightening (Glycolic Acid)","lorealmy","Health & Beauty","https://shopee.com.my/L%E2%80%99Or%C3%A9al-Paris-Glycolic-Bright-Instant-Glowing-Face-Serum-%E2%80%93-30ml-Skincare-Brightening-(Glycolic-Acid)-i.55788683.12062627922"
"2022-04-07 10:01:41",2384341833,4865367567,55788683,34.90,0,1,1,"L'Oreal Paris Revitalift Crystal Micro Essence 65ml/130ml (Glowing Skin, Skin Care Routine)","lorealmy","Health & Beauty","https://shopee.com.my/L'Oreal-Paris-Revitalift-Crystal-Micro-Essence-65ml-130ml-(Glowing-Skin-Skin-Care-Routine)-i.55788683.2384341833"
"2022-04-07 10:01:41",2384341833,4865367568,55788683,50.10,3,47,50,"L'Oreal Paris Revitalift Crystal Micro Essence 65ml/130ml (Glowing Skin, Skin Care Routine)","lorealmy","Health & Beauty","https://shopee.com.my/L'Oreal-Paris-Revitalift-Crystal-Micro-Essence-65ml-130ml-(Glowing-Skin-Skin-Care-Routine)-i.55788683.2384341833"
"2022-04-07 10:01:44",1954072947,84358955300,118222750,54.99,0,80,80,"3M 8210 N95 Particulate Disposable Respirator NIOSH approved [20 pcs/box] PSD_ DR_","3msafety.os","Home & Living","https://shopee.com.my/3M-8210-N95-Particulate-Disposable-Respirator-NIOSH-approved-20-pcs-box-PSD_-DR_-i.118222750.1954072947"
"2022-04-07 10:01:44",1954072947,84358955301,118222750,104.99,0,40,40,"3M 8210 N95 Particulate Disposable Respirator NIOSH approved [20 pcs/box] PSD_ DR_","3msafety.os","Home & Living","https://shopee.com.my/3M-8210-N95-Particulate-Disposable-Respirator-NIOSH-approved-20-pcs-box-PSD_-DR_-i.118222750.1954072947"
"2022-04-07 10:01:46",16926495366,134751747686,458606128,46.70,0,100,100,"POP MART The monsters animals series 精灵动物系列","popmartofficial.my","Games, Books & Hobbies","https://shopee.com.my/POP-MART-The-monsters-animals-series-%E7%B2%BE%E7%81%B5%E5%8A%A8%E7%89%A9%E7%B3%BB%E5%88%97-i.458606128.16926495366"
"2022-04-07 10:01:48",6236255005,41053958719,118222750,9.99,3,47,50,"3M 312-1250 E-A-Rsoft Yellow Neons Uncorded Foam Earplugs/ Earplug NRR 33 dB/ Travel [10 Pairs/Packet] EP_ PSD_","3msafety.os","Home & Living","https://shopee.com.my/3M-312-1250-E-A-Rsoft-Yellow-Neons-Uncorded-Foam-Earplugs-Earplug-NRR-33-dB-Travel-10-Pairs-Packet-EP_-PSD_-i.118222750.6236255005"
"2022-04-07 10:01:51",8282124312,83708743348,118222750,3.99,1,49,50,"3M 2000HEX Scotch-Brite Professional Medium Duty Dual Purpose Scour Pad/ Span Pencuci Pinggan Sabut Berspan/ CSD_ CP_","3msafety.os","Home & Living","https://shopee.com.my/3M-2000HEX-Scotch-Brite-Professional-Medium-Duty-Dual-Purpose-Scour-Pad-Span-Pencuci-Pinggan-Sabut-Berspan-CSD_-CP_-i.118222750.8282124312"
"2022-04-07 10:01:51",8282124312,83708743349,118222750,19.99,0,0,0,"3M 2000HEX Scotch-Brite Professional Medium Duty Dual Purpose Scour Pad/ Span Pencuci Pinggan Sabut Berspan/ CSD_ CP_","3msafety.os","Home & Living","https://shopee.com.my/3M-2000HEX-Scotch-Brite-Professional-Medium-Duty-Dual-Purpose-Scour-Pad-Span-Pencuci-Pinggan-Sabut-Berspan-CSD_-CP_-i.118222750.8282124312"
"2022-04-07 10:01:53",3751584833,50936822207,60920639,28.60,9,191,200,"[2 PACKS] Alicafe Tongkat Ali & Ginseng Original (30gm X 20 Sachets) + FREE 3 Sachets of Warung Classic","powerrootmalaysia","Groceries & Pets","https://shopee.com.my/-2-PACKS-Alicafe-Tongkat-Ali-Ginseng-Original-(30gm-X-20-Sachets)-FREE-3-Sachets-of-Warung-Classic-i.60920639.3751584833"
"2022-04-07 10:01:56",5443090186,60358537819,60920639,8.60,1,199,200,"Alitea Warung 3 in 1 Teh Tarik (20gm X 20 Sachets)","powerrootmalaysia","Groceries & Pets","https://shopee.com.my/Alitea-Warung-3-in-1-Teh-Tarik-(20gm-X-20-Sachets)-i.60920639.5443090186"
"2022-04-07 10:01:58",3743153533,70356946093,60920639,14.30,0,40,40,"Alicafe Tongkat Ali & Ginseng Karamel (40gm X 15 Sachets)","powerrootmalaysia","Groceries & Pets","https://shopee.com.my/Alicafe-Tongkat-Ali-Ginseng-Karamel-(40gm-X-15-Sachets)-i.60920639.3743153533"
"2022-04-07 10:02:01",4659291833,51539400026,60920639,36.30,10,40,50,"[3 PACKS] Per'l Kacip Fatimah & Collagen Cafe (20gm X 20 Sachets) + FREE 1 Pc Thermo Flask","powerrootmalaysia","Groceries & Pets","https://shopee.com.my/-3-PACKS-Per'l-Kacip-Fatimah-Collagen-Cafe-(20gm-X-20-Sachets)-FREE-1-Pc-Thermo-Flask-i.60920639.4659291833"
